Ссылка,Изображение,Название,Старая цена,Новая цена,Автор
https://www.chitai-gorod.ru/product/w-i-t-c-h-chast-5-kniga-stihiy-tom-3-3007391,https://content.img-gorod.ru/pim/products/images/e5/aa/018f61b9-d377-721f-a5a9-873c72e5e5aa.jpg,W.I.T.C.H. Часть 5. Книга стихий. Том 3,1 649 ₽,1 411 ₽,Элизабетта Ньоне

https://www.chitai-gorod.ru/product/chto-esli-venom-zavladel-by-dedpulom-m-remender-2597412,https://content.img-gorod.ru/pim/products/images/13/50/018ede2e-65ac-7afc-b3e2-1381d63f1350.jpg,Что если Веном завладел бы Дэдпулом (м) Ремендер,289 ₽,175 ₽,Рик Ремендер

https://www.chitai-gorod.ru/product/w-i-t-c-h-chast-1-dvenadcat-portalov-tom-3-2843227,https://content.img-gorod.ru/pim/products/images/dc/a0/018f5f38-2321-7d5e-96d7-f5df90a4dca0.jpg,W.I.T.C.H. Часть 1. Двенадцать порталов. Том 3,1 759 ₽,1 508 ₽,Элизабетта Ньоне

https://www.chitai-gorod.ru/product/the-boys-pacany-omnibus-tom-2-2919613,https://content.img-gorod.ru/pim/products/images/4d/82/018f5fe0-e314-7600-951b-0ec48afc4d82.jpg,The Boys. Пацаны. Омнибус. Том 2,2 199 ₽,1 898 ₽,"Дэрик Робертсон, Гарт Эннис"

https://www.chitai-gorod.ru/product/w-i-t-c-h-chast-4-sud-nad-orakulom-tom-1-3001531,https://content.img-gorod.ru/pim/products/images/da/5c/018f61a9-7ed3-7007-ba7d-ec530543da5c.jpg,W.I.T.C.H. Часть 4. Суд над оракулом. Том 1,1 649 ₽,1 411 ₽,Элизабетта Ньоне

https://www.chitai-gorod.ru/product/shadow-fight-tom-2-3047179,https://content.img-gorod.ru/pim/products/images/8f/2f/019057f8-d047-76ea-9706-68d2b30c8f2f.jpg,Shadow Fight. Том 2,1 209 ₽,988 ₽,Алекс Хатчетт

https://www.chitai-gorod.ru/product/eti-igroki-dumayut-chto-ya-odin-iz-nih-vypusk-1-3015950,https://content.img-gorod.ru/pim/products/images/1f/d8/018f61e6-84e7-7500-9078-a7704d911fd8.jpg,"Эти игроки думают, что я один из них. Выпуск 1",1 450 ₽,1 208 ₽,Сергей Таганский

